LP;LP;BREL, JAQUES;Gold;;Chanson;Barclay;
LP;LP;BROWN, JAMES;Pop Giants;;Soul;BRUNSWICK;
LP;LP;BRUBECK, DAVE;Star – Collection;;Jazz;MIDI;
LP;LP;BUSCH, E;Span. Bürgerkrieg;;Politik;Pläne;
LP;LP;BUSCH, ERNST;Arbeiterklasse  1;;Politik;Pläne;
LP;LP;BYRDS, The;Greatest Hits;;FolkRock;CBS;
LP;LP;CAMPBELL, GLEN;Greatest Hits;;Country;Capitol;
LP;LP;CAMPBELL, GLEN;Portrait;;Country;Capitol;
LP;LP;CAN;Limited Edition;;Kraut;UNITED ART.;
LP;LP;CANNON, FREDDIE;Reflection;;HighSchool;FONTANA;
LP;LP;CAPTAIN & TENNILLE;Greatest Hits;;Pop;AM;
LP;LP;CARNES, KIM;Mistaken Identity;;CountryRock;EMI;
LP;LP;CARPENTERS, The;Horizon;;FolkRock;AM;
LP;LP;CARPENTERS, The;Ticket To Ride;;FolkRock;MFP;
LP;LP;CARR, VIKKI;Miss Discovery!;;Pop;Liberty;
LP;LP;CARR, VIKKI;Vikki!;;Pop;Liberty;
LP;LP;CASH, BRENT;How Will I Know..;;Rock;Marina;
LP;LP;CASH, DYLAN;Songs real Americ.;;Country;Swingin' Pig;
LP;LP;CASH, JOHNNY;A Hundr. Highways;;Country;American V;
LP;LP;CASH, JOHNNY;Ain't No Grave;;Country;American VI;
LP;LP;CASH, JOHNNY;Collaborations;;Country;Collumbia;
LP;LP;CASH, JOHNNY;Fabulous;58;Country;Columbia;
LP;LP;CASH, JOHNNY;Golden Album;;Country;Unplugged;
LP;LP;CASH, JOHNNY;Golden Hits  III;;Country;SUN;
LP;LP;CASH, JOHNNY;Johnny Cash;;Country;Pickup;
LP;LP;CASH, JOHNNY;Johnny Cash;;Country;Embassy;
LP;LP;CASH, JOHNNY;San Quentin;;Country;CBS;
LP;LP;CASH, LEWIS;Sunday Down ..;;Country;SUN;
LP;LP;CELENTANO, ADRIANO;Best of …;;ItaloPop;ARIOLA;
LP;LP;CHALLANGERS, The;Sidewalk Surfing;;Surf;CRESCENDO;
LP;LP;CHAPLIN, CHARLIE;„Oh, That Cello“;;Politik;JARO;
LP;LP;CHARLES, RAY;Invites you Listen;;BluesJazz;Philips;
LP;LP;CHARLES, RAY;Ray Charles;;BluesJazz;SAGA;
LP;LP;CHARLES, RAY;Ray Charles;;BluesJazz;Entertainers;
LP;LP;CHIC      (MS);Le Freak;;Disco;Atlantic;
LP;LP;CHRISTOPHE;Christophe;;Chanson;Polydor;
LP;LP;CITY;Same;;Rock;Amiga;
LP;LP;CLAPTON, ERIC;Backless;;SoftRock;RSO;
LP;LP;CLAPTON, ERIC;Slowhand;;SoftRock;RSO;
LP;LP;CLAPTON, ERIC;Timepieces;;SoftRock;RSO;
LP;LP;CLASH, The;London Calling;79;PunkRock;CBS;
LP;LP;CLASS OF '55;Home Coming;;Country;Mercury;
LP;LP;CLINE, PATSY;Greatest Hits;;Country;MCA;
LP;LP;COCHRAN, EDDY;Summer Time;;Rock'n Roll;SUNSET;
LP;LP;COCKER, JOE;Definite;;BluesRock;DINO;
LP;LP;COLE, NAT KING;Sometimes Happy;;Pop;Picture;
LP;LP;COLE, NAT KING;Unforgettable;;Pop;Capitol;
LP;LP;COMEDIAN HARMONISTS;Same    DLP;;Politik;Odeon;
LP;LP;COMMANDER CODY BAND;Let's Rock;86;CountryRock;LINE;
LP;LP;COMMANDER CODY BAND, New;Rock'n Roll Again;77;CountryRock;Arista;
LP;LP;COMO, PERRY;Scene Changes;;Pop;RCA;
LP;LP;COMO, PERRY;Somebody Loves Me;;Pop;Camden;
LP;LP;COOKE, SAM;Same;;Pop;PIC;
LP;LP;COOKE, SAM;What A Wond..;;Pop;All Around;
LP;LP;COOLIDGE, RITA;Love Me Again;;Country;A&M;
LP;LP;COOLIDGE, RITA;Never Let You Go;83;Country;A&M;
LP;LP;COUGAR, JOHN;COUGAR, JOHN;;SoftRock;Warner Broth.;
LP;LP;CRAY, ROBERT;Don't be Afraid ..;;Blues;Mercury;
LP;LP;CRAY, ROBERT;Strong Persuader;;Blues;Mercury;
LP;LP;CRECO, JULIETTE;La Chanson;;Chanson;Philips;
LP;LP;CREEDENCE CL. REVIVAL;...in Concert;;CountryRock;Fantasy;
LP;LP;CREEDENCE CL. REVIVAL;Bayou Country;;CountryRock;Bellaphon;
LP;LP;CREEDENCE CL. REVIVAL;Green River;;CountryRock;America;
LP;LP;CROSS, CHRISTOPHER;CROSS, CHRISTOPHER;;SoftRock;Warner Broth.;
LP;LP;CRUSADERS, The;Rhapsody And Blue;80;ClassicJazz;MCA;
LP;LP;DALIDA;Die Grossen Erfolge;;Schlager;Barcley;
LP;LP;DALIDA;Er War Gerade Achtzehn Jahr;;Schlager;SIR;
LP;LP;DARIN, BOBBY;Star – Collection;;Entertainer;MIDI;
LP;LP;Das Kommt Nicht ...;Div. Couplets;;Politik;Telefunken;
LP;LP;DAVE CLARK FIVE, The;Best of ....;;Beat;CRYSTAL;
LP;LP;DAVE CLARK FIVE, The;Greatest Hits;;Beat;EPIC;
LP;LP;DAVE DEE, DOZY & CO;If Music Be...;;Beat;FONTANA;
LP;LP;DAVIS, J r.,  SAMMY;Sound Of Sammy;;Pop;Warner Spez.;
LP;LP;DAVIS, J r.,  SAMMY;The Many Faces Of..;;Pop;Pickwick;
LP;LP;DAVIS, SKEETER;What Does It Take;;Country;RCA;
LP;LP;DAWN;„Candida“;;Pop;BELL;
LP;LP;DAY, DORIS;Große Erfolge;;Entertainer;CBS;
LP;LP;DE BURGH, CHRIS;Getaway;;Pop;AM;
LP;LP;DEAN, JIMMY;Greatest Hits;;Country;Columbia;
LP;LP;DEAN, JIMMY;Songs We Love..;;Country;Columbia;
LP;LP;DEEP PURPLE;In Rock;;HardRock;Harvest;
LP;LP;DEGENHARDT,;...Gemütlichkeit;;Politik;Polydor;
LP;LP;DEGENHARDT, FRANZ J..;Live;;Politik;Polydor;
LP;LP;DENVER, JOHN;I Want To Live;;Country;RCA;
LP;LP;DENVER, JOHN;Superhits;;Country;RCA;
LP;LP;DEUTSCHER, DRAFI;Teeny;;Schlager;BEAR Fam.;
LP;LP;DIAMOND, NEIL;12 Songs;;SoftRock;SONY;
LP;LP;DIAMOND, NEIL;Gold    „Live“;;SoftRock;UNI;
LP;LP;DIAMOND, NEIL;His 12 Greatest Hits;;SoftRock;MCA;
LP;LP;DIAMOND, NEIL;Neil Diamond;;SoftRock;UNI (Club);
LP;LP;DIETRICH, MARLENE;Alt-Berliner Lieder;;Politik;Amiga;
LP;LP;DIETRICH, MARLENE;Disque D'or;;Politik;EMI;
LP;LP;DIETRICH, MARLENE;Lola;;Schlager;Joker;
LP;LP;DIETRICH, MARLENE;Melodien .....;;Politik;Crystal;
LP;LP;DION;You're Not Alone;;HighSchool;WARNER BR.;
LP;LP;DION & the BELMONTS;Rock'n'Roll Forever;;HighSchool;WEA;
LP;LP;DIRE STRAITS;Brothers In Arms;;Rock;Vertico;
LP;LP;DIRE STRAITS;Dire Straits;;Rock;Vertico;
LP;LP;DIXIELAND KINGS;Dixieland;;Dixie;Exlibris;
LP;LP;DOMINO, FATS;Ain't That A Shame;;R&B;SUNSET;
LP;LP;DOMINO, FATS;Sleeping...Job;;R&B;PIC;
LP;LP;DOMINO, FATS;Stompin';;R&B;SUNSET;
LP;LP;DOMINO, FATS;Super Album;;R&B;DLP, K-Tel;
LP;LP;DONEGAN, LONNIE;My Old Man's ....;;Skiffle;Hallmark;
LP;LP;DONOVAN;Colours;65;Songwriter;Hallmark;
LP;LP;DONOVAN;The World Of ...;;Songwriter;Marble Arch;
