CD_SAMPLER;CD;Basie, Count;Swinging the Blues;Jazz Session;;;Jazz;
CD_SAMPLER;CD;Baxter, Les & Orchestra;April in Portugal;Millennium;2;53;Instr.;
CD_SAMPLER;CD;Baxter, Les & Orchestra;Blue Tango;Millennium;2;52;Instr.;
CD_SAMPLER;CD;Beach Boy, The;Ganz allein;1000 Nadelstiche;;63;Surf;
CD_SAMPLER;CD;Beach Boy, The;Good Vibrations;Biggest Hits Live USA;;;Surf;
CD_SAMPLER;CD;Beach Boy, The;Kokomo;Cocktail;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Barbie;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Beach Boys Stomp;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Fun Fun Fun;Surf Party;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Hang on to your Ego;Mojo;;90;Surf;
CD_SAMPLER;CD;Beach Boys, The;Hawaii;Surf Party;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;In My Room;Surf Party;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Judy;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Little Deuce Coupe;Surf Party;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Luau;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfer Girl;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfer Girl;Surf Party;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfer Girl;Surfin' USA;;63;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfer Girl;Surfing America;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin';BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin';Surfing America;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin' Safari;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin' Safari;Surf Party;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin' Safari;Surfin' USA;;62;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin' Safari;Surfing America;;;Surf;
CD_SAMPLER;CD;Beach Boys, The;Surfin' USA;Surfin' USA;;63;Surf;
CD_SAMPLER;CD;Beach Boys, The;What is a Young Girl Made Of;BB and J&D;;;Surf;
CD_SAMPLER;CD;Beastie Boys;Nothing To Say;MOM 3;;;Crossover;
CD_SAMPLER;CD;Beatles, The;Twist and Shout;Biggest Hits Live USA;;;Beat;
CD_SAMPLER;CD;Beck;Electric Music;MOM 3;;;;
CD_SAMPLER;CD;Beck, Jeff;Hi-Ho Silver Lining;LEGENDARY ROCK (Coll.);2;67;ROCK;
CD_SAMPLER;CD;Beckley / Lamm / Wilson, Carl;Without Her;Nilsson;;;Rock;
CD_SAMPLER;CD;Bee Gees, The;Tragedy;ROCK GROUPS (Collect.);2;79;ROCK;
CD_SAMPLER;CD;Belew, Adrian;Me and my Arrow;Nilsson;;;Rock;
CD_SAMPLER;CD;Bendix, Ralf;Der große Treck nach Idaho;Cash / Gabriel;;63;Country;
CD_SAMPLER;CD;Bennett, Tony;Because of You;Pop Radio;;1951;Pop;
CD_SAMPLER;CD;Bennett, Tony;Col Cold Heart;Pop Radio;;1951;Pop;
CD_SAMPLER;CD;Benny;Michael, Marc und Christian;1000 Nadelstiche;;66;Pop;
CD_SAMPLER;CD;Berry, Chuck;Maybelline;Burnt by Rock'n Roll;;;R&R;
CD_SAMPLER;CD;Berry, Chuck;Rock 'n' Roll Music;Magic Radio;;57;R&R;
CD_SAMPLER;CD;Berry, Chuck;Sweet Little Sixteen;Magic Radio;;59;R&R;
CD_SAMPLER;CD;Betts, Dickey & Great Southern;Mr. Blues Man;Southern Blues;2;;New-Blues;
CD_SAMPLER;CD;Big Daddy (Frankie Brunson);Where in the World;GEE Story;2;;R & B;
CD_SAMPLER;CD;Big Daddy (Frankie Brunson);You're Mine;GEE Story;2;;R & B;
CD_SAMPLER;CD;Bilk. Acker Mr.;Da Da Strain;Jazz Session;;;Jazz;
CD_SAMPLER;CD;Black Sabbath;Paranoid;ROCK HEROES (Collect.);1;77;ROCK;
CD_SAMPLER;CD;Blades, Carol;What Did I Do Wrong;GEE Story;2;;R & B;
CD_SAMPLER;CD;Blake, Johnny & The Clippers;Bella Marie;GEE Story;2;;R & B;
CD_SAMPLER;CD;Blake, Norman;Only With You;Caroline Now!;;;Jazz;
CD_SAMPLER;CD;Blanc, Mel;I taut I Taw a puddy Tat;Millennium;1;51;;
CD_SAMPLER;CD;Bleyer, Archie;Hernando's Hideaway;Millennium;2;54;Orchester;
CD_SAMPLER;CD;Blood, Sweat and Tears.;Hi-De-Ho;LEGENDARY ROCK (Coll.);2;70;ROCK;
CD_SAMPLER;CD;Blood, Sweat and Tears.;Spinning Wheel;ROCK GROUPS (Collect.);2;69;ROCK;
CD_SAMPLER;CD;Blossoms, The;Things Are Changing;Brian Wilson 18;;;Surf;
CD_SAMPLER;CD;Boettcher, Curt;It's a sad World;Mojo;;2004;Surf;
CD_SAMPLER;CD;Boomtown Rats, The;I Don't Like Mondays;ROCK STARS (Collection);1;79;ROCK;
CD_SAMPLER;CD;Boomtown Rats, The;Someone's Looking at You;ROCK GROUPS (Collect.);2;80;ROCK;
CD_SAMPLER;CD;Boone, Pat;Baby Sonnenschein;1000 Nadelstiche;;63;Pop;
CD_SAMPLER;CD;Boone, Pat;Little Honda;Covered;;64;Pop;
CD_SAMPLER;CD;Boston;More than a Feeling;Biggest Hits Live USA;;;HardRock;
CD_SAMPLER;CD;Boston;More than a Feeling;ROCK GROUPS (Collect.);1;77;HardRock;
CD_SAMPLER;CD;Brahem, Anouar & Surman, John;Houdouth;Maryam;;;Welt;
CD_SAMPLER;CD;Bread;Guitar Man;LEGENDARY ROCK (Coll.);2;72;ROCK;
CD_SAMPLER;CD;Brewer, Teresa;Music Music Music;Pop Radio;;1950;Pop;
CD_SAMPLER;CD;Brickell, Edie & Was;American Popsicle;Wassermann (Trios);;;Blues;
CD_SAMPLER;CD;Brickell, Edie & Was;Zillionaire;Wassermann (Trios);;;Blues;
CD_SAMPLER;CD;Brooks, Elkie;Fool if you Think it's Over;NIGHT ROCK (Collection);1;81;ROCK;
CD_SAMPLER;CD;Broonzy, Bill Big;Merry Go Round Blues;Southern Blues;1;;Club Sound;
CD_SAMPLER;CD;Brown, Charles   (Trio);Trouble Blues;Music Of My Life;3;49;R&B;
CD_SAMPLER;CD;Brown, Junior;409;Stars & Stripes;;;Surf;
CD_SAMPLER;CD;Brown, Roy;Butcher Pete;Music Of My Life;2;49;R&B;
CD_SAMPLER;CD;Brown, Roy;Rainy Weather Blues;Music Of My Life;2;49;R&B;
CD_SAMPLER;CD;Brown, Sawyer;I Get Around;Stars & Stripes;;;Surf;
CD_SAMPLER;CD;Brown, T. Graham;Help Me Rhonda;Stars & Stripes;;;Surf;
CD_SAMPLER;CD;Bruce & Terry;Custom Machine;Covered;;;Surf;
CD_SAMPLER;CD;Buckingham, Lindsey;Trouble;SOFT ROCK  (Collection);1;81;ROCK;
CD_SAMPLER;CD;Buffett, Jimmy;Sea Cruise;MOM 3;;;Rock;
CD_SAMPLER;CD;Burdon, Eric;San Franciscan Nights;ROCK HEROES (Collect.);2;67;ROCK;
CD_SAMPLER;CD;Burger, Rob;Aveenu Malkenu;Maryam;;;Welt;
CD_SAMPLER;CD;Burgess, Sonny;Ain't Got a Thing;SUN Story;;57;R&R;
CD_SAMPLER;CD;Burgess, Sonny;Red Headed Woman;SUN Story;;56;R&R;
CD_SAMPLER;CD;Burrell, Kenny;Soul Call;Somethin' Jazz;;;Jazz;
CD_SAMPLER;CD;Burroughs Group, Clark;'Til I Die;Jazz Portrait;;;Jazz;
CD_SAMPLER;CD;Burroughs Group, Clark;Cabinessence;Jazz Portrait;;;Jazz;
